service_request_id,status_description,source,requested_datetime,closed_date,coordinates,lat,long,address,district
371231,Acknowledged,Web,2018-07-28T16:13:00,,32.75714645471045-117.0943758349182,32.75714645,-117.0943758,"4406 Menlo Ave, San Diego, CA 92115, USA",9
371187,Acknowledged,Web,2018-07-28T08:47:00,,32.8310089-117.25996459999999,32.8310089,-117.2599646,"1559 El Paso Real, La Jolla, CA 92037, USA",1
371186,Acknowledged,Web,2018-07-28T08:38:00,,33.003921272960774-117.08824472411412,33.00392127,-117.0882447,"15393 Maturin Dr, San Diego, CA 92127, USA",5
371159,Acknowledged,Mobile,2018-07-28T05:00:00,,32.79546537910652-117.0281380841204,32.79546538,-117.0281381,6297 Cowles Mountain Blvd,7
371156,Closed - Referred,Mobile,2018-07-28T05:00:00,,32.731484-117.155619,32.731484,-117.155619,"700 El Prado, San Diego, CA 92101, USA",3
371138,Acknowledged,Mobile,2018-07-28T04:59:00,,32.709534-117.127846,32.709534,-117.127846,"3083 J St, San Diego, CA 92102, USA",8
371133,Acknowledged,Mobile,2018-07-28T04:58:00,,32.760285-117.070745,32.760285,-117.070745,"4501 59th St, San Diego, CA 92115, USA",9
371116,Acknowledged,Mobile,2018-07-28T04:57:00,,32.694303-117.02782,32.694303,-117.02782,"565 Deep Dell Rd, San Diego, CA 92139, USA",4
371112,Acknowledged,Mobile,2018-07-28T04:57:00,,32.79061987557306-117.0825838838291,32.79061988,-117.0825839,5201 Orcutt Ave,7
370611,Acknowledged,Mobile,2018-07-25T16:07:00,,32.75131411631014-117.236127590899,32.75131412,-117.2361276,4601-4633 Nimitz Blvd,2
370605,Closed,Mobile,2018-07-25T15:59:00,2018-07-26T07:26:00,32.70128-117.118718,32.70128,-117.118718,"Ocean View Blvd & I-15, San Diego, CA 92113, USA",9
370603,Duplicate,Web,2018-07-25T15:55:00,,32.7129553-117.1336387,32.7129553,-117.1336387,"609-800 28th Street, San Diego, CA, USA",8
370600,Acknowledged,Mobile,2018-07-25T15:52:00,,32.70113628826356-117.1188681108105,32.70113629,-117.1188681,518 S 35th St,9
370596,Acknowledged,Phone,2018-07-25T15:47:00,,32.695932090701056-117.13446583208906,32.69593209,-117.1344658,"S 28TH ST & NATIONAL AV,, 92113",8
370589,Acknowledged,Web,2018-07-25T15:40:00,,32.84301836968695-117.2726375637543,32.84301837,-117.2726376,"7614 Herschel Ave, La Jolla, CA 92037, USA",1
370587,Acknowledged,Phone,2018-07-25T15:39:00,,32.70046512879051-117.13495918367589,32.70046513,-117.1349592,"HARRISON AV & S 28TH ST,, 92113",8
370586,Acknowledged,Mobile,2018-07-25T15:39:00,,32.90742833333334-117.127875,32.90742833,-117.127875,9069 Dunholme St,6
370585,Acknowledged,Mobile,2018-07-25T15:38:00,,32.70896945180142-117.0607275375643,32.70896945,-117.0607275,6351 Madrone Ave,4
370582,Acknowledged,Web,2018-07-25T15:30:00,,32.7200747-117.162556,32.7200747,-117.162556,"222 Ash Street, San Diego, CA, USA",3
370578,Closed,Web,2018-07-25T15:27:00,2018-07-27T08:56:00,32.73581099999999-117.11988009999999,32.735811,-117.1198801,"3414 Palm Street, San Diego, CA, USA",3
370545,Acknowledged,Mobile,2018-07-25T14:20:00,,32.84140392146531-117.2014367704751,32.84140392,-117.2014368,5258-5298 Cole St,6
370541,Acknowledged,Phone,2018-07-25T14:11:00,,32.760930806671944-117.16135557894731,32.76093081,-117.1613556,"425 CAMINO DEL RIO SOUTH, 92108",7
370522,Acknowledged,Web,2018-07-25T13:48:00,,32.7424662-117.18259599999999,32.7424662,-117.182596,"1980 West Washington Street, San Diego, CA, USA",2
370518,Closed,Mobile,2018-07-25T13:43:00,,32.737001-117.091891,32.737001,-117.091891,N32.74 E117.09,9
370495,Acknowledged,Phone,2018-07-25T13:23:00,,32.700142363473496-117.13449113820491,32.70014236,-117.1344911,"S 28TH ST & HARRISON AV,, 92113",8
370494,Duplicate,Web,2018-07-25T13:23:00,,32.76996086617933-117.09688692016601,32.76996087,-117.0968869,"4800 Fairmount Ave, San Diego, CA 92116, USA",9
370463,Acknowledged,Web,2018-07-25T12:56:00,,32.7827648-117.23663690000001,32.7827648,-117.2366369,"Ingraham Street, San Diego, CA, USA",2
370461,Acknowledged,Mobile,2018-07-25T12:55:00,,32.706911-117.084997,32.706911,-117.084997,"247 Euclid Ave, San Diego, CA 92114, USA",4
370455,Closed - Referred,Mobile,2018-07-25T12:50:00,,32.74930925974528-117.1225388072661,32.74930926,-117.1225388,I-805 N,9
370449,Acknowledged,Web,2018-07-25T12:43:00,,32.817036792296584-117.16132283558198,32.81703679,-117.1613228,"4072 Ashford St, San Diego, CA 92111, USA",6
370429,Acknowledged,Web,2018-07-25T11:59:00,,32.810908849954636-117.26224671134946,32.81090885,-117.2622467,"701 Van Nuys St, San Diego, CA 92109, USA",2
370307,Acknowledged,Mobile,2018-07-25T10:02:00,,32.8826646869225-117.1551645048512,32.88266469,-117.1551645,7310 Miramar Rd,6
370304,Acknowledged,Mobile,2018-07-25T10:01:00,,32.89686576504834-117.1363236752709,32.89686577,-117.1363237,Miralani Dr,6
370239,Acknowledged,Web,2018-07-25T09:04:00,,32.8810883-117.17132579999998,32.8810883,-117.1713258,"8401 Camino Santa Fe, San Diego, CA, USA",6
370226,Acknowledged,Mobile,2018-07-25T08:48:00,,32.72023646983807-117.2328830941099,32.72023647,-117.2328831,3000-3064 Talbot St,2
370223,Closed,Web,2018-07-25T08:45:00,2018-07-26T07:33:00,32.800493-117.02394520000001,32.800493,-117.0239452,"8002 Beaver Lake Drive, San Diego, CA, USA",7
370215,Closed,Mobile,2018-07-25T08:29:00,2018-07-25T09:29:00,32.93642147995723-117.0949707217434,32.93642148,-117.0949707,10800-10804 Scripps Poway Pkwy,5
370205,Acknowledged,Phone,2018-07-25T08:16:00,,32.73510683334741-117.14579984609952,32.73510683,-117.1457998,"ZOO PL, 92101",3
370190,Acknowledged,Web,2018-07-25T07:51:00,,32.753254399999996-117.10873600000001,32.7532544,-117.108736,"4024 Orange Ave, San Diego, CA 92105, USA",9
370178,Acknowledged,Mobile,2018-07-25T07:24:00,,32.56750651125144-116.9400954733326,32.56750651,-116.9400955,9456-9468 Otay Mesa Rd,8
370161,Acknowledged,Mobile,2018-07-25T06:29:00,,32.827206-117.158099,32.827206,-117.158099,"7372 Engineer Rd, San Diego, CA 92111, USA",6
370159,Acknowledged,Mobile,2018-07-25T06:27:00,,32.71161907041612-117.1503696909436,32.71161907,-117.1503697,601-699 15th St,3
370084,Closed,Mobile,2018-07-24T19:44:00,,32.76525833333334-117.188255,32.76525833,-117.188255,5790 Friars Rd,2
370075,Duplicate,Web,2018-07-24T19:19:00,,32.8634903692611-117.25315058720662,32.86349037,-117.2531506,"8581 La Jolla Shores Dr, La Jolla, CA 92037, USA",1
370064,Acknowledged,Mobile,2018-07-24T18:46:00,,32.76694005358291-117.1530865599561,32.76694005,-117.1530866,1640 Camino del Rio N,7
370050,Acknowledged,Mobile,2018-07-24T18:18:00,,32.943968-117.115765,32.943968,-117.115765,"12403 Via Cabezon, San Diego, CA 92129, USA",5
370047,Acknowledged,Mobile,2018-07-24T18:16:00,,32.80918636195565-117.2643379479044,32.80918636,-117.2643379,5239 La Jolla Blvd,2
370043,Acknowledged,Mobile,2018-07-24T18:11:00,,32.86386182735577-117.2528912892848,32.86386183,-117.2528913,8578-8586 La Jolla Shores Dr,1
370030,Acknowledged,Mobile,2018-07-24T17:51:00,,32.718822-117.127601,32.718822,-117.127601,N32.72 E117.13,3
370022,Acknowledged,Mobile,2018-07-24T17:28:00,,32.75324305121484-117.0766418683266,32.75324305,-117.0766419,4200-4210 Sharron Pl,9
370015,Duplicate,Mobile,2018-07-24T17:23:00,,32.71312-117.13375,32.71312,-117.13375,700 28th St,8
369989,Acknowledged,Mobile,2018-07-24T16:20:00,,32.718713-117.090419,32.718713,-117.090419,"4901 A St, San Diego, CA 92102, USA",4
369969,Acknowledged,Web,2018-07-24T16:02:00,,32.74557950000001-117.16684889999999,32.7455795,-117.1668489,"400 West Pennsylvania Avenue, San Diego, CA, USA",3
369963,Acknowledged,Web,2018-07-24T15:52:00,,32.8034195-117.07862720000003,32.8034195,-117.0786272,"7317 Princess View Drive, San Diego, CA, USA",7
369944,Duplicate,Mobile,2018-07-24T15:15:00,,32.82336333333333-117.2744916666667,32.82336333,-117.2744917,403 Via del Norte,1
369939,Duplicate,Mobile,2018-07-24T15:13:00,,32.82328333333334-117.27468,32.82328333,-117.27468,405 Via del Norte,1
369938,Acknowledged,Mobile,2018-07-24T15:12:00,,32.82336333333333-117.2744916666667,32.82336333,-117.2744917,403 Via del Norte,1
369923,Acknowledged,Phone,2018-07-24T14:55:00,,32.693585692117544-117.07068538721137,32.69358569,-117.0706854,"5807-5871 DIVISION ST, 92114",4
